0 1 2
3 4 1
1 0 5
3 1 5
5 0 6
7 2 1
4 7 1
8 7 4
2 9 0
9 10 0
0 10 6
5 11 3
6 12 13
5 6 14
14 6 13
15 7 8
16 2 7
17 8 4
17 4 3
17 3 11
18 19 20
10 12 6
14 11 5
12 21 13
7 15 22
16 7 23
24 8 25
25 8 17
2 26 9
18 25 17
27 25 18
11 28 17
18 17 28
19 18 28
27 18 20
29 30 31
30 27 20
31 30 20
11 14 32
19 28 33
20 19 33
13 32 14
33 34 20
31 20 34
35 13 21
32 13 35
23 7 22
36 15 8
23 37 16
24 36 8
16 26 2
16 38 26
25 39 24
39 25 27
30 39 27
10 9 40
41 10 40
12 10 41
42 28 11
11 32 42
33 28 43
34 44 31
34 33 45
46 44 34
35 21 47
22 15 48
36 48 15
24 39 49
38 16 37
39 30 50
50 30 29
26 40 9
51 29 31
51 31 44
28 42 43
43 45 33
45 52 34
52 46 34
53 52 45
48 36 54
22 37 23
49 54 36
49 36 24
50 49 39
55 50 29
56 55 29
56 29 51
12 41 21
57 44 46
43 42 58
58 42 32
45 43 59
60 52 53
46 52 60
32 35 61
61 35 62
37 22 63
48 63 22
49 64 54
65 64 49
50 65 49
66 38 67
37 67 38
66 68 38
68 26 38
69 55 56
70 40 26
71 40 70
41 40 71
51 72 56
73 41 71
74 72 51
73 75 41
74 51 76
76 51 44
41 75 21
76 44 57
21 75 77
47 21 77
62 35 47
78 43 58
59 43 78
32 61 58
53 45 59
79 61 62
61 80 81
48 54 82
65 50 55
68 70 26
69 56 83
72 83 56
70 84 71
71 84 73
84 85 73
85 75 73
76 86 74
47 77 87
88 57 46
87 62 47
88 46 60
87 79 62
89 59 78
89 90 59
53 59 90
61 81 58
61 79 80
91 63 92
63 48 92
93 82 64
65 93 64
91 37 63
64 82 54
67 37 91
55 94 65
95 96 97
96 98 97
95 97 84
70 95 84
99 100 72
97 98 101
74 99 72
97 101 102
97 85 84
99 74 86
85 97 102
85 102 103
75 85 103
86 76 104
75 103 77
57 88 105
105 76 57
53 90 60
106 60 90
88 60 106
105 88 106
78 58 107
81 107 58
89 78 107
108 90 89
80 109 81
92 48 82
110 93 65
111 67 91
112 94 55
67 111 113
66 67 114
67 113 114
55 69 112
69 83 112
68 114 115
114 68 66
68 115 70
115 95 70
115 96 95
100 83 72
101 116 102
117 104 76
77 103 118
77 118 87
105 117 76
87 118 79
118 119 79
79 119 80
106 90 108
120 105 106
121 105 120
89 107 122
108 89 122
109 107 81
123 93 110
92 124 91
94 110 65
125 126 94
125 94 112
127 125 112
128 127 112
83 128 112
129 115 114
96 130 98
98 131 132
